idx,question,answer,final_decision,final_indicators
,"לפניך מוצגים שני אלכסונים של מרובע, אך הצורה עצמה מוסתרת.
באמצעות גרירת הקודקודים, בחן את התנהגות האלכסונים וענה על השאלות הבאות:
האם ניתן לקבוע בוודאות את סוג המרובע על סמך תצפיותיך? הוכח את טענתך.
אם אינך יכול לקבוע את סוג המרובע באופן חד-משמעי, פרט אילו נתונים נוספים נדרשים כדי לזהות את הצורה במדויק?
",המרובע הוא מקבילית זאת לפי תכונת המקבילית שהאלכסונים חוצים זה את זה.,3,"3.02, 3.03, 3.06, 3.18"
,הוכיחו כי במלבן האלכסונים שווים זה לזה,חופפים את משולשKHJ למשולש HKI לפי צ.ז.צ,3,3.10
,"נתונים של משולשים ABC ו-A'B'C' כמתואר בציור. האם על פי הנתונים, ניתן לקבוע אם המשולשים חופפים ביניהם? אם כן, הוכיחו. אם לא- נמקו מדוע.",כן כי הזוית במשולש הכתום גם שווה 30 מעלות ואז יש צ.ז.צ,3,"3.03, 3.10"
,הוכיחו שאלכסוני הדלתון ניצבים זה לזה.,דרך זווית ישירה וחפיפת משולשים,3,3.10
,"""המעוין הוא דלתון מיוחד"". האם טענה זו נכונה? נמקו את קביעתכם.","כן, בנוסף לתכונות של דלתון, מעויין מחצה גם קוטר נוסף",3,"3.02, 3.04, 3.07, 3.18"
,האם כל מקבילית היא ריבוע? האם כל ריבוע הוא מקבילית? נמקו,"כל ריבוע הוא מקבילית כן - כי על מנת שיהיה ריבוע חייב שבו כל שני צלעות מקבילות שוות לכן כל ריבוע הוא מקבילית
אבל לא כל מקבילית הוא ריבוע - כי הריבוע כל הזוויות כן 90 ובמקבילית לא חייב שיהיה זווית 90 לכן לא כל מקבילית היא ריבוע ",3,"3.02, 3.03, 3.07, 3.18"
,"ביישומון שלפניך מוצגות שתי צורות.האם אפשר לגרור את קודקודי הצורות כך שכל צורה תהיה ריבוע? אם כן גררו אותם, והסבירו מה חיפשתם בכל צורה כדי להגיע לריבוע. אם לא, הסבירו למה.","במלבן  מספיק להגיע לצלעות שוות , במקבילות יש צורך להגיע לזוויות של 90 מעלות , יש למדוד",3,"3.02, 3.04, 3.07"
,הוכיחו למה במשולש קהה זווית לא יתכן שהגובה לצלע שיוצרת זווית קהה יהיה בתוך המשולש.,כי אם הוא היה בתוך המשולש אז היה נוצר משולש עם זוית ישרה וזוית קהה,3,"3.02, 3.03, 3.06, 3.10"
,הוכיחו שאם במרובע האלכסונים חוצים זה את זה אז המרובע הוא מקבילית.,"כיוון שהאלכסונים חוצים זה את זה, נוצרים משולשים חופפים לפי משפט צ.ז.צ. נובע מכך כי שני ישרים במרובע הם שווים כתוצאה מהחפיפה. וגם מקבלים שבמרובע שתי צלעות נגדיות מקבילות ושוות, ולכן המרובע הוא מקבילית.",3,3.10
,האם כל מקבילית היא ריבוע? האם כל ריבוע הוא מקבילית? נמקו,לא כל מקבילית היא ריבוע כי לא תמיד יש זוית ישרה אבל כל ריבוע הוא מקבילית,3,"3.02, 3.03, 3.07, 3.18"
,כתבו 2 תכונות שמשותפת לכל הריבועים אך לא משותפת לכל המעויינים. נמקו את בחירתכם.,"ארבע זוויות ישרות.
אלכסונים שווים זה לזה",3,"3.02, 3.06"
,האם כל מקבילית היא ריבוע? האם כל ריבוע הוא מקבילית? נמקו,כל ריבוע הוא מקבילית אבל לא כל מקבילית היא ריבוע,3,"3.02, 3.03, 3.07, 3.18"
,האם כל מקבילית היא ריבוע? האם כל ריבוע הוא מקבילית? נמקו,כל ריבוע הוא מקבילית כי יש לו תכונות של מקבילית. אבל לא כל מקבילית היא ריבוע כי לא תמיד יש זוויות ישרות,3,"3.02, 3.03, 3.07, 3.18"
,"""המעוין הוא דלתון מיוחד"". האם טענה זו נכונה? נמקו את קביעתכם.","כן, הגדרת הדלתון קיימת גם למעויין",3,"3.01, 3.09"
,"משולש ABC הוא ישר זווית (זווית B ישרה). הנקודה M היא אמצע הצלע AC, והנקודה D נמצאת על הצלע AB. הנקודות B,C,M,D נמצאות על מעגל שמרכזו N. הוכיחו: אורך הקטע AD שווה לקוטר המעגל.","אורך הקטע AD תמיד שווה לקוטר המעגל מכיוון שהזווית DMC ישרה כי המרובע BCMD בר חסימה. 
גם נתון ש AM שווה ל MC. אז DM הוא גובהה מאונך במשולש ADC, ז""א שהמשולש הוא שווה שוקיים. AD=DC",4,"4.05, 4.06"
,"לפי סכום זוויות במשולש, זווית C' היא בת 30° (180-70-80) ולכן המשולשים חופפים לפי משפט חפיפה צלע זווית צלע.","כן המשולשים חופפים, יש התאמה בין הצלעות AC= 'A'C= 12 וגם AB='A'B=14 וזווית CAB='A'C'B=30 כי הזווית A'C'B'= 180- 70-40=30 סכום זוויות המשולש 180",4,"4.05, 4.06, 4.08"
,הוכיחו כי במלבן האלכסונים שווים זה לזה,"על ידי חפיפת שני היושבים על בסיס המלבן צ-ז-צ
צלע משותפת
ז- זווית 90
צ- שני צלעות שוות מקביליות במלבן 
 לכן יוצא שהמיתר בשני המשולשים שווים והן האלכסונים",4,"4.05, 4.06, 4.08"
,הוכח כי סכום זוויות במחומש הוא 540°,מחלקים א המחומש לשלושה משולשים ואז סכום הזוויות 180 ועוד 180 ועוד 180,4,"4.05, 4.06, 4.08"
,"משולש ABC הוא ישר זווית (זווית B ישרה). הנקודה M היא אמצע הצלע AC, והנקודה D נמצאת על הצלע AB. הנקודות B,C,M,D נמצאות על מעגל שמרכזו N. הוכיחו: אורך הקטע AD שווה לקוטר המעגל. ","נתן שM הוא אמצע AC אז AM=MC 
המשולש ABC ישר זווית 
הנקודות נמצאות על המעגל BCDM נקודה M היא אמצע AC ויש קשר ישר בין MוN מרכז המעגל אפשר לשער שהמשולש ADM הוא גם ישר זווית D שווה ל 90 אז AD הוא קוטר.",4,"4.05, 4.06"
,הוכיחו שאם במרובע האלכסונים חוצים זה את זה אז המרובע הוא מקבילית.,חופפים את משולש ABE עם משולש CDE לפי צ.ז.זצ (צלעות נתונות של האלכסונים וזויות קדקודיות) ואז מקבלים זוויות מתחלפות שוות ולכן הצלעות מקבילות,4,4.06
,הוכח כי סכום זוויות במחומש הוא 540°,"מחלקים את המחומש ל3 משולשים, ואז סכום הזוויות הוא 180 כפול 3",4,4.06
,מהן תכונותיו של המלבן?,ארבע זוויות ישרות,3,3.04
,כתבו לפחות 3 תכונות שקיימות במעויין.,"כל הצלעות שוות, כל זוג צלעות נגדיות מקבילות, האלכסונים חוצים , האלכסונים מאונכים,כל שתי זויות צמודות שוות 180, האלכסונים חוצים את הזוויות ",2,"2.01, 2.06"
,"נתונים של משולשים ABC ו-A'B'C' כמתואר בציור. האם על פי הנתונים, ניתן לקבוע אם המשולשים חופפים ביניהם? אם כן, הוכיחו. אם לא- נמקו מדוע.","כן אפשר לפי צלע זווית צלע שני משולשים חופפים 
צלע 12 זווית 30 צלע 14",4,"4.05, 4.06"
,"האם אפשר לגרור את קודקודי הצורות כך שכל צורה תהיה ריבוע? אם כן גררו אותם, והסבירו מה חיפשתם בכל צורה כדי להגיע לריבוע. אם לא, הסבירו למה.","כן, צריך שכל הזויות יהיו שוות וצלעות נגדיות שוות זו לזו",2,"2.01, 2.02, 2.06, 2.07"
,גוף יכול להיות גם מנסרה וגם תיבה בו זמנית. האם טענה זו נכונה? נמק את דעתך.,זה נשמע הגיוני אבל לא בטוחה למה,1,1.04
,"""בגיאומטריה אחרת, השונה מהגיאומטריה האוקלידית, מישור פרויקטיבי הוא מישור המקיים את 5 האקסיומות הבאות:
 1. יש לפחות ישר אחד.
 2. דרך כל שתי נקודות שונות עובר ישר יחיד.
 3. כל שני ישרים נחתכים לפחות בנקודה אחת.
 4. על כל ישר יש לפחות 3 נקודות שונות.
 5. אין ישר אשר כל נקודות נמצאות עליו.
 
 
 האם בגיאומטריה הזו סכום הזוויות במשולש הוא 180°? נמקו את תשובתכם.""","סכום הזוויות במשולש אינו שווה ל 180 זאת בגלל שבגיאומטריה פרויקטיבית אין ישרים מקבילים כי כל שני ישרים נחתכים לפחות בנקודה אחת, המשולשים במישור אינם כפופים לכללי הגיאומטריה האוקלידית, ולכן סכום הזוויות במשולש יכול להיות 180",5,"5.02, 5.12"
,נתונה צורה עם ארבע צלעות שוות. האם היא בהכרח מעוין?,"לא. 
לא  בכרח היא מעיון ",1,1.04
,גוף יכול להיות גם מנסרה וגם תיבה בו זמנית. האם טענה זו נכונה? נמק את דעתך.,"אולי, אני לא בטוחה",1,1.04
,"במערכת גיאומטרית חדשה, קו ישר מוגדר כאוסף של נקודות (x,y) המקיימות את התנאי
c שווה ערך מוחלט של x ועוד ערך מוחלט של y.
כאשר c הוא מספר ממשי חיובי קבוע. 
תאר כיצד נראה ""קו ישר"" במערכת זו. 
",הוא נראה כמעוין,1,1.04
,מהן תכונותיו של המלבן? מנו תכונות רבות ככל האפשר.,"צורה סגורה ממשפחת המרובעים, כל הזוויות שלה שוות 90 מעלות וכל זוג צלעות מקבילות.במילים אחרות ניתן לומר שזו מקבילית בעלת זוית של 90 מעלות.
במלבן האלכסונים שווים זה לזה וחוצים זה את זה. הצלעות הנגדיות שוות זו לזו. ",3,"3.02, 3.04, 3.07, 3.18"
,כתבו לפחות 3 תכונות שקיימות במעויין.,"ארבע זוויות 90 מעלות
כל הצלעות שוות 
התיכונים במעויין מתחתכות
זוגות של צלעות נגדיות מקבילות",2,"2.01, 2.06, 2.08, 2.14"
,"""שתי הצורות הנתונות הן מקביליות לאורך כל גרירה"".
האם הטענה נכונה? הסבירו.
","כן, גררתי וראיתי שהן מקביליות",1,1.08
,"במערכת גיאומטרית נתונה האקסיומה: 
""שני קווים מקבילים אם ורק אם הם נחתכים בנקודה אחת בלבד"".
שרטטו מקבילית אפשרית על פי המערכת הגיאומטרית הנתונה.
","אז לפי ההגדרה שכל שני ישרים נחתכים בנקודה אחת בלבד אז הם מקבילים 
ולכן נציר שני ישרים שנחתכים רק בנקודה ",3,"3.01, 3.03"
,"אילו תכונות משותפות קיימות לשתי הצורות הנתונות (תכונות הנשמרות לאורך כל גרירה)?
","צלעות נגדיות מקבילות ושוות, זוויות ישרות",2,"2.01, 2.02, 2.06, 2.11"
,הוכיחו כי במשולש קהה זווית לא יתכן שהגובה לצלע שיוצרת זווית קהה יהיה בתוך המשולש.,,1,1.04
,"לפניך מוצגים שני אלכסונים של מרובע, אך הצורה עצמה מוסתרת.
באמצעות גרירת הקודקודים, בחן את התנהגות האלכסונים וענה על השאלות הבאות:
האם ניתן לקבוע בוודאות את סוג המרובע על סמך תצפיותיך?
אם אינך יכול לקבוע את סוג המרובע באופן חד-משמעי, פרט אילו נתונים נוספים נדרשים כדי לזהות את הצורה במדויק?
",מקבילית כי האלכסונים נפגשים באמצע,3,3.04
,"נתונים של משולשים ABC ו-A'B'C' כמתואר בציור. האם על פי הנתונים, ניתן לקבוע אם המשולשים חופפים ביניהם? אם כן, הוכיחו. אם לא- נמקו מדוע.",המשולשים לא - בכתום הזוויות השלישית היא כן 30 על ידי השלמת סכום זוויות המשלוש ל 180 נכון אבל המשולש הכחול לא אוכל לדעת סכום זוויות הבסיס כי לפי   ABC ו-A'B'C'  הם לא חופפים - הסדר של האותיות,3,"3.06, 3.16"
,"""גוף יכול להיות גם פאון וגם קוביה בו זמנית"". האם טענה זו נכונה? נמק את דעתך.","הטענה נכונה, כי קוביה היא סוג של פאון שבו כל הפאות הן ריבועים שווים. כל קוביה היא פאון, אך לא כל פאון הוא קוביה",3,"3.02, 3.03, 3.06, 3.18"
,מהן תכונותיו של המלבן?,כמו דף A4,1,1.01
,ביישומון שלפניך מוצגים שלושה קטעים היוצאים מקודקודי משולש כלשהו (המשולש מוסתר). האם ניתן לקבוע סוג המשולש (חד זווית / ישר זווית / קהה זווית) על סמך 2 או 3 קטעים? נמקו.,לא כי צריך ערך של זווית כדי לקבוע את סוג המשולש,2,"2.01, 2.07"
,"""גוף יכול להיות גם פאון וגם קוביה בו זמנית"". האם טענה זו נכונה? נמק את דעתך.",כן כי פאון הוא צורה הנדסית תלת מימדית שכל הצורות מבחוץ הן שטח לכן קובייה היא סוג של פאון אבל פאון לא יכול להיות קוביה כי קוביה פנויה משש קדקודים וחייבת להיות בצורה מסוימת,3,"3.02, 3.07, 3.18"
,"במערכת גיאומטרית חדשה אנו מגדירים את היחסים בין נקודות כך:
1. דרך שתי נקודות עובר אינסוף קווים.
2. קו מוגדר כמעגל שנסגר על עצמו.
האם מערכת זו עקבית (כלומר, ללא סתירה פנימית בהגדרות)? נמק את תשובתך.","כן, היחס הראשון לא מתנגד עם היחס השני.
ניתן לצייר אינסוף מעגלים דרך שתי נקודות.",5,5.12
,הוכיחו כי במשולש קהה זווית לא יתכן שהגובה לצלע שיוצרת זווית קהה יהיה בתוך המשולש.,"הראתי סרטוט למעלה...
מעבר לכך אולי על ידי השלמה למקבילית ומלבן..",2,2.01
,"לפניך מוצגים שני אלכסונים של מרובע, אך הצורה עצמה מוסתרת.
באמצעות גרירת הקודקודים, בחן את התנהגות האלכסונים וענה על השאלות הבאות:
האם ניתן לקבוע בוודאות את סוג המרובע על סמך תצפיותיך?
אם אינך יכול לקבוע את סוג המרובע באופן חד-משמעי, פרט אילו נתונים נוספים נדרשים כדי לזהות את הצורה במדויק?",זו מקבילית,1,1.04
,"ביישומון שלפניך מוצגות שתי צורות.האם אפשר לגרור את קודקודי הצורות כך שכל צורה תהיה ריבוע? אם כן גררו אותם, והסבירו מה חיפשתם בכל צורה כדי להגיע לריבוע. אם לא, הסבירו למה.",כן ניתן לגרור הקודקודים ונקבל מרובע בגלל ששתי הצורות הן מקבלית.,3,"3.02, 3.20"
,אילו תכונות יש למשולש שווה שוקיים.,"הזויות בין הצלעות השוות לבסיס שוות  , הגובה,התיכון וחוצה מזווית הראש מתלכדים ",2,"2.01, 2.06, 2.08"
,"""נניח שבדלתון ABCD מתקיים AB=AD וגם CB=CD. נקודת מפגש האלכסונים הינה O. 
 הוכחה: נחפוף את משולשים ABC,ADC לפי משפט חפיפה צ.צ.צ. מכאן שזווית BAC שווה לזווית DAC. כעת נחפוף את משולש ABO עם משולש ADO לפי משפט חפיפה צ.ז.צ ונקבל שזווית AOB שווה לזווית AOD. זוויות צמודות שוות זו לזו הן זוויות ישרות, ומכאן שאלכסוני הדלתון חופפים.""",חופפים משולשים,2,2.01
,הוכח כי סכום זוויות במחומש הוא 540°,נעביר הצורה לשני צורות משולש ומלבן ואז סכום זוויות המשולש 180 וזוויות המלבן 360 ואז ביחד זה יוצא 540,4,"4.05, 4.06"
,מהן תכונותיו של המלבן?,4 זוויות ישרות,3,3.04
,הוכח כי סכום זוויות במחומש הוא 540°,"נחלק את המחומש (5 צלעות) ל־3 משולשים על ידי שרטוט אלכסונים מקודקוד אחד:
3*180 = 540",4,"4.05, 4.06, 4.08"
,"לפניך מוצגים שני אלכסונים של מרובע, אך הצורה עצמה מוסתרת.
באמצעות גרירת הקודקודים, בחן את התנהגות האלכסונים וענה על השאלות הבאות:
האם ניתן לקבוע בוודאות את סוג המרובע על סמך תצפיותיך?
אם אינך יכול לקבוע את סוג המרובע באופן חד-משמעי, פרט אילו נתונים נוספים נדרשים כדי לזהות את הצורה במדויק?
",מקבילית כי תמיד האלכסונים חוצים זה את זה,3,"3.03, 3.04"
,מהן תכונותיו של המלבן? מנו תכונות רבות ככל האפשר.,"כל שתי צלעות נגדיות שוות ומקבילות אחת לשניה 
כל שתי צלעות שנפגשות יוצרות זווית ישרה
המיתרים חותכים אחד את השני לשני חלקים שווים
",2,"2.01, 2.02, 2.06, 2.08"
,"""גוף יכול להיות גם פאון וגם קוביה בו זמנית"". האם טענה זו נכונה? נמק את דעתך.","כן נכונה, כי כל קוביה היא פאון",3,"3.02, 3.18"
,מהן תכונותיו של המלבן?,"כל הזוויות שוות ל־90°
הצלעות הנגדיות שוות ומקבילות
האלכסונים שווים באורכם וחוצים זה את זה",2,"2.01, 2.02, 2.06, 2.08"
,"נתונים של משולשים ABC ו-A'B'C' כמתואר בציור. האם על פי הנתונים, ניתן לקבוע אם המשולשים חופפים ביניהם? אם כן, הוכיחו. אם לא- נמקו מדוע.","כן
AC = AC' = 12
∠ CAB = ∠ACB' = 30
AB = CB' = 14",3,3.10
,"לפניך מוצגים שני אלכסונים של מרובע, אך הצורה עצמה מוסתרת.
באמצעות גרירת הקודקודים, בחן את התנהגות האלכסונים וענה על השאלות הבאות:
האם ניתן לקבוע בוודאות את סוג המרובע על סמך תצפיותיך? הוכח את טענתך.
אם אינך יכול לקבוע את סוג המרובע באופן חד-משמעי, פרט אילו נתונים נוספים נדרשים כדי לזהות את הצורה במדויק?
","לפי דעתי זה יכול להיות  טרבז אבל לא בהכרח 
יכולה לקבוע  הצורה אם יש לי הנקודות עצמם ABCD ",2,2.02
,כתבו 2 תכונות שמשותפת לכל הריבועים אך לא משותפת לכל המעויינים. נמקו את בחירתכם.,"כל הזוויות ישרות וגם ב90 מעלות 
האלכסונים שווים באורך
הריבוע הוא מעויין מיוחד רק כל הזוויות ישרות והאלכסונים שווים באורך",3,"3.02, 3.03, 3.06, 3.07, 3.09, 3.18"
,"לפניך מוצגים שני אלכסונים של מרובע, אך הצורה עצמה מוסתרת.
באמצעות גרירת הקודקודים, בחן את התנהגות האלכסונים וענה על השאלות הבאות:
האם ניתן לקבוע בוודאות את סוג המרובע על סמך תצפיותיך?
אם אינך יכול לקבוע את סוג המרובע באופן חד-משמעי, פרט אילו נתונים נוספים נדרשים כדי לזהות את הצורה במדויק?",מקבילית,1,1.04
,האם ניתן לקבוע סוג המשולש על סמך 2 או 3 קטעים? נמקו.,אולי אם רואים את זה ברור יותר,1,1.04
,הוכיחו כי במלבן האלכסונים שווים זה לזה,חופפים משולשים,3,3.10
,"בגיאומטריה אחרת, השונה מהגיאומטריה האוקלידית, מישור פרויקטיבי הוא מישור המקיים את 5 האקסיומות הבאות:
1. יש לפחות ישר אחד.
2. דרך כל שתי נקודות שונות עובר ישר יחיד.
3. כל שני ישרים נחתכים לפחות בנקודה אחת.
4. על כל ישר יש לפחות 3 נקודות שונות.
5. אין ישר אשר כל נקודות נמצאות עליו.


האם בגיאומטריה הזו סכום הזוויות במשולש הוא 180°? נמקו את תשובתכם.","לא בגיאומטריה אחרת לא מתקיימות כל האקסיומות של גיאומטריה אוקלידית (כמו מקבילים), ולכן אין חובה שסכום זוויות במשולש יהיה 180°.",5,"5.02, 5.12"
,הוכיחו למה במשולש קהה זווית לא יתכן שהגובה לצלע שיוצרת זווית קהה יהיה בתוך המשולש.,כי אם הוא היה בתוך המשולש היה נוצר משולש עם זווית קהה וישרה וזה לא הגיוני,3,"3.02, 3.03, 3.06, 3.10"
,כתבו לפחות 3 תכונות שקיימות במעויין.,"1. כל צלעות שלו שוות 
2. האלכסונים שלו מאונכים זה את זה 
3. כל זווית שווה לזווית שמולה ",2,"2.01, 2.08"
,הוכיחו שאלכסוני הדלתון ניצבים זה לזה.,חופפים משולש ABC עם משולש ADC לפי צ.צ.צ (יש צלע משותפת) ואז מקבלים זווית A השמאלית שווה לזוית A הימנית ולכן ויש משולש שווה שוקים עם חוצה זווי הראש אז הוא גם גובה,4,"4.05, 4.06"
,הוכיחו שאם במרובע האלכסונים חוצים זה את זה אז המרובע הוא מקבילית.,אני יכולה להוכיח זאת על פי חפיפת משולשים להגיע לכך שהצלעות שוות ובמידה והצלעות הנגדיות שוות זו לזו אז זוי מקבילית...,3,3.10
,האם אפשר לגרור את קודקודי הצורות כך שכל צורה תהיה ריבוע?,לא ניסיתי,1,1.04
,הוכיחו שזוויות הבסיס של טרפז שווה שוקיים שוות זו לזו.,"נוריד גובה H1 מקודקוד D ל BC 
נוריד גובה H2 מקודקוד A ל BC 
מתקיים DA ∥ AB כי הם בסיס בטרפז 
ולכן הזווית DKA שווה לזווית MKA שוות ל 90 
והזווית KMD שווה ל 90 כי H2 הוא גובה ולכן הזווית הרביעית במרובע DMKA שווה ל 90 
ולכן המרובע שנוצר הוא מלבן כלומר AK שווה DM 
בנוסף נתון שטרפז שווה שוקיים ולכן AB = DC 
ולכן SIN של הזווית ABK שווה AK חלקי AB 
ו SIN של זווית DCB שווה ל DM חלקי DC 
ולכן שתי הזווית שוות -> זוויות הבסיס שוות 
",4,4.06
,"ביישומון שלפניך מוצגים שלושה קטעים היוצאים מקודקודי משולש כלשהו (המשולש מוסתר). האם ניתן לדעת בוודאות את סוג הקטעים המיוחדים (תיכון, חוצה זווית או גובה)?","כן לפי הישומון אפשר לדעת מה כל צלע 
למשל צלע שיוצא מנקודה A זה גובה כי הוא קו ישר ואי אפשר להפוך הצורה שלו ",2,"2.01, 2.03"
,"נתונים של משולשים ABC ו-A'B'C' כמתואר בציור. האם על פי הנתונים, ניתן לקבוע אם המשולשים חופפים ביניהם? אם כן, הוכיחו. אם לא- נמקו מדוע.","כן, לפי צץז.צ כי הזווית השלישית היא גם 30",3,"3.06, 3.10"
